frame_nmr;license_number;license_number_score;time_of_operation
140;Tablica 1;0,785524659;0,095001221
141;Tablica 1;0,765233345;0,146374702
142;Tablica 1;0,777025998;0,330103874
;;;
;;0,775928001;0,190493266
