frame_nmr;license_number;license_number_score;time_of_operation
10;Tablica 2;0,895018646;0,456004381
11;Tablica 2;0,917266233;0,491998672
12;Tablica 2;0,918218485;0,433997631
13;Tablica 2;0,909821255;0,463002682
14;Tablica 2;0,923187281;0,454998255
15;Tablica 2;0,92903247;0,465999842
16;Tablica 2;0,929291206;0,465997458
18;Tablica 2;0,928390537;0,460005045
19;Tablica 2;0,920448916;0,653999567
20;Tablica 2;0,923502752;0,512999773
21;Tablica 2;0,926038734;0,449002504
22;Tablica 2;0,925783873;0,480001688
23;Tablica 2;0,925399985;0,493000507
24;Tablica 2;0,935630713;0,437998772
25;Tablica 2;0,926813696;0,467999697
26;Tablica 2;0,929876379;0,505000114
27;Tablica 2;0,922962427;0,45099926
28;Tablica 2;0,924580319;0,443001747
29;Tablica 2;0,928778946;0,457002163
30;Tablica 2;0,927207513;0,451999664
31;Tablica 2;0,910516577;0,538002729
32;Tablica 2;0,921843282;0,442004204
33;Tablica 2;0,906911697;0,460996866
34;Tablica 2;0,932028106;0,442000151
35;Tablica 2;0,912663613;0,426001549
37;Tablica 2;0,916573984;0,420998573
38;Tablica 2;0,927770325;0,43800354
39;Tablica 2;0,931056397;0,450992584
40;Tablica 2;0,930150943;0,463002205
41;Tablica 2;0,934912375;0,513000727
42;Tablica 2;0,923411829;0,438004017
43;Tablica 2;0,931794235;0,53000164
44;Tablica 2;0,941281821;0,447998524
46;Tablica 2;0,940645371;0,444001436
48;Tablica 2;0,926528198;0,489002466
;;;
;;0,924438261;0,469686304
