frame_nmr;license_number;license_number_score;time_of_operation
44;Tablica 2;0,837808524;0,454001665
48;Tablica 2;0,897972575;0,458997726
51;Tablica 2;0,921332198;0,43700099
52;Tablica 2;0,898729937;0,454995871
54;Tablica 2;0,926682259;0,550999641
56;Tablica 2;0,903417528;0,436001778
57;Tablica 2;0,905464479;0,447999239
58;Tablica 2;0,915249297;0,472999096
59;Tablica 2;0,920539975;0,443998575
60;Tablica 2;0,913705076;0,448993921
61;Tablica 2;0,927133526;0,45499897
62;Tablica 2;0,924607745;0,440996885
64;Tablica 2;0,919096998;0,433000565
66;Tablica 2;0,926688169;0,549998283
67;Tablica 2;0,922091203;0,512996435
68;Tablica 2;0,895002621;0,532000542
69;Tablica 2;0,903651723;0,439998388
70;Tablica 2;0,918172121;0,468000412
71;Tablica 2;0,915456925;0,439002275
72;Tablica 2;0,916112363;0,461998463
73;Tablica 2;0,933539953;0,595999479
74;Tablica 2;0,902630542;0,462001085
75;Tablica 2;0,919303817;0,456001043
76;Tablica 2;0,925919507;0,436996698
77;Tablica 2;0,923891093;0,433998346
78;Tablica 2;0,922868005;0,53000021
79;Tablica 2;0,922430277;0,437998772
81;Tablica 2;0,918610266;0,43099761
82;Tablica 2;0,931209445;0,43199873
83;Tablica 2;0,922929985;0,454996109
85;Tablica 2;0,923852001;0,429999113
86;Tablica 2;0,927623068;0,432998657
87;Tablica 2;0,938173567;0,432996035
;;;
;;0,915815054;0,463817018
