frame_nmr;license_number;license_number_score;time_of_operation
59;Tablica 2;0,896051492;0,91299963
60;Tablica 2;0,904271509;0,476997852
61;Tablica 2;0,898426524;0,444996834
64;Tablica 2;0,905144581;0,564994335
67;Tablica 2;0,922721556;0,440996647
68;Tablica 2;0,902883691;0,457998514
69;Tablica 2;0,911395286;0,444002151
70;Tablica 2;0,903744212;0,459998608
71;Tablica 2;0,903649007;0,461002588
72;Tablica 2;0,914682261;0,486997604
73;Tablica 2;0,929727265;0,467998266
74;Tablica 2;0,919958992;0,445999384
75;Tablica 2;0,918540316;0,537996054
76;Tablica 2;0,919224058;0,438998222
77;Tablica 2;0,924263554;0,443995714
78;Tablica 2;0,917057557;0,444998264
79;Tablica 2;0,927798101;0,513998508
80;Tablica 2;0,927048104;0,443998814
81;Tablica 2;0,93337294;0,445997953
83;Tablica 2;0,930201846;0,436001301
84;Tablica 2;0,924463681;0,43799901
85;Tablica 2;0,928384917;0,493000269
87;Tablica 2;0,918960793;0,552999735
88;Tablica 2;0,92450984;0,447000504
89;Tablica 2;0,923544143;0,443999767
90;Tablica 2;0,928706978;0,44799757
91;Tablica 2;0,914216476;0,477001429
93;Tablica 2;0,933481821;0,484997511
94;Tablica 2;0,927699115;0,499999285
95;Tablica 2;0,93287984;0,495992422
96;Tablica 2;0,93144599;0,47999835
98;Tablica 2;0,9292257;0,596981287
99;Tablica 2;0,937925671;0,507999897
100;Tablica 2;0,938319266;0,527001143
101;Tablica 2;0,922246047;0,463001251
;;;
;;0,920747804;0,489341048
