frame_nmr;license_number;license_number_score;time_of_operation
125;Tablica 2;0,916721787;0,584996939
126;Tablica 2;0,938436525;0,475999832
127;Tablica 2;0,922325373;0,480001688
128;Tablica 2;0,930335334;0,454002857
131;Tablica 2;0,919146691;0,472994566
132;Tablica 2;0,92134841;0,500999928
133;Tablica 2;0,932504977;0,596998692
134;Tablica 2;0,925301654;0,518001795
136;Tablica 2;0,926916531;0,444002628
137;Tablica 2;0,916918542;0,469998598
138;Tablica 2;0,933085195;0,47200036
139;Tablica 2;0,913204457;0,440000296
140;Tablica 2;0,91713024;0,438001633
141;Tablica 2;0,931696687;0,444999456
142;Tablica 2;0,92166996;0,698005676
143;Tablica 2;0,917743393;0,432999611
144;Tablica 2;0,903737213;0,462999344
145;Tablica 2;0,928272069;0,45299983
146;Tablica 2;0,929421706;0,526999235
147;Tablica 2;0,922567947;0,466001749
148;Tablica 2;0,921462374;0,428998232
149;Tablica 2;0,90049128;0,460998058
150;Tablica 2;0,923594449;0,453001738
151;Tablica 2;0,915586829;0,456000328
152;Tablica 2;0,919380665;0,482002497
154;Tablica 2;0,924747714;0,43100214
155;Tablica 2;0,929123385;0,431002617
158;Tablica 2;0,919456712;0,527999163
159;Tablica 2;0,91477997;0,48399806
160;Tablica 2;0,926230388;0,510000467
161;Tablica 2;0,915087734;0,465997458
162;Tablica 2;0,935176219;0,467998743
163;Tablica 2;0,925137298;0,438000679
166;Tablica 2;0,929807552;0,513998508
167;Tablica 2;0,919628578;0,472998381
;;;
;;0,92251931;0,481628622
