frame_nmr;license_number;license_number_score;time_of_operation
58;Tablica 2;0,912636084;0,512998104
61;Tablica 2;0,913898672;0,478996277
62;Tablica 2;0,906649394;0,458999157
63;Tablica 2;0,91761681;0,556998014
64;Tablica 2;0,914513358;0,463002443
65;Tablica 2;0,916200587;0,476997614
66;Tablica 2;0,921029031;0,513998985
67;Tablica 2;0,921052609;0,444999456
68;Tablica 2;0,922106394;0,462998629
69;Tablica 2;0,929293539;0,476001501
70;Tablica 2;0,926889522;0,467995882
71;Tablica 2;0,936577916;0,462004423
72;Tablica 2;0,92939789;0,515997648
74;Tablica 2;0,928175935;0,505990744
75;Tablica 2;0,928299495;0,652998209
76;Tablica 2;0,929757186;0,801999092
77;Tablica 2;0,927932271;1,580001116
78;Tablica 2;0,90650968;1,276000977
79;Tablica 2;0,938801331;0,659077883
80;Tablica 2;0,927194996;0,802116871
81;Tablica 2;0,929528134;0,618101597
82;Tablica 2;0,925670096;0,605092764
83;Tablica 2;0,919917481;0,662955284
85;Tablica 2;0,924841957;0,497999191
88;Tablica 2;0,930501257;0,583039999
89;Tablica 2;0,927759826;0,478998899
90;Tablica 2;0,924570433;0,466999531
92;Tablica 2;0,927602036;0,451999903
93;Tablica 2;0,931374695;0,487999678
;;;
;;0,924010297;0,600805513
