frame_nmr;license_number;license_number_score;time_of_operation
51;Tablica 2;0,924319157;0,487002611
52;Tablica 2;0,926655046;0,511000633
53;Tablica 2;0,881294446;0,468003035
54;Tablica 2;0,87668189;0,46099925
55;Tablica 2;0,902280348;0,441967964
56;Tablica 2;0,926512369;0,470997572
58;Tablica 2;0,900441613;0,850986958
60;Tablica 2;0,863722205;0,451998472
61;Tablica 2;0,918044652;0,493999481
62;Tablica 2;0,909804225;0,475000143
64;Tablica 2;0,923131807;0,524022818
65;Tablica 2;0,924755156;0,491998672
66;Tablica 2;0,919731276;0,54999876
68;Tablica 2;0,924426598;0,420996666
69;Tablica 2;0,927911886;0,439001322
70;Tablica 2;0,924700984;0,44699955
71;Tablica 2;0,925063414;0,460999727
72;Tablica 2;0,921009047;0,44900012
73;Tablica 2;0,925850621;0,457001209
74;Tablica 2;0,920769887;0,44499898
75;Tablica 2;0,916306589;0,447998524
76;Tablica 2;0,91044506;0,478002548
78;Tablica 2;0,90468342;0,476998568
79;Tablica 2;0,917280963;0,468999386
80;Tablica 2;0,913567884;0,448999405
81;Tablica 2;0,866613184;0,447999954
82;Tablica 2;0,924080074;0,448999166
83;Tablica 2;0,92622453;0,463998556
84;Tablica 2;0,927157479;0,47599864
85;Tablica 2;0,925751729;0,467999697
;;;
;;;
;;0,913307251;0,480765613
