frame_nmr;license_number;license_number_score;time_of_operation
43;Tablica 2;0,924714284;0,508003473
45;Tablica 2;0,896329582;0,455001593
46;Tablica 2;0,913230751;0,471004009
48;Tablica 2;0,910028883;0,467000723
49;Tablica 2;0,907457505;0,454003572
50;Tablica 2;0,927610781;0,476998806
51;Tablica 2;0,927390712;0,442996264
52;Tablica 2;0,917539895;0,462998152
53;Tablica 2;0,930987537;0,780002117
54;Tablica 2;0,926332882;0,536995649
55;Tablica 2;0,926075833;0,488999844
56;Tablica 2;0,927699064;0,73099637
57;Tablica 2;0,926981211;0,559996367
58;Tablica 2;0,925350615;0,457000494
59;Tablica 2;0,924857157;0,444977522
60;Tablica 2;0,928592205;0,423000813
61;Tablica 2;0,91826874;0,751002073
62;Tablica 2;0,929045975;0,507966995
63;Tablica 2;0,912801283;0,438999891
65;Tablica 2;0,922690613;0,489998579
66;Tablica 2;0,921210085;0,494001627
67;Tablica 2;0,930170204;0,504002094
68;Tablica 2;0,931054132;0,5049963
69;Tablica 2;0,922965561;0,573000431
70;Tablica 2;0,909073327;0,444000721
71;Tablica 2;0,916849222;0,446002483
72;Tablica 2;0,921157496;0,434002638
73;Tablica 2;0,936914163;0,478999853
74;Tablica 2;0,930955691;0,462998867
75;Tablica 2;0,919133484;0,461000919
76;Tablica 2;0,930260403;0,435997725
77;Tablica 2;0,931338702;0,456991673
78;Tablica 2;0,93372293;0,442002535
80;Tablica 2;0,936685962;0,437991619
81;Tablica 2;0,926502705;0,526000023
86;Tablica 2;0,928787546;0,596999645
;;;
;;0,92363242;0,501303679
