frame_nmr;license_number;license_number_score;time_of_operation
93;Tablica 2;0,915667679;0,500998735
94;Tablica 2;0,901346896;0,528033018
99;Tablica 2;0,911837161;0,535994053
102;Tablica 2;0,91715587;0,495000839
103;Tablica 2;0,92870255;0,471000195
104;Tablica 2;0,924586901;0,448999643
105;Tablica 2;0,93358515;0,4480021
106;Tablica 2;0,928997798;0,463000774
107;Tablica 2;0,93403789;0,458999634
108;Tablica 2;0,925365439;0,498003483
109;Tablica 2;0,927072465;0,471999884
110;Tablica 2;0,926629714;0,451001883
111;Tablica 2;0,929681378;0,444995403
112;Tablica 2;0,92304733;0,486004591
113;Tablica 2;0,918102562;0,572999477
114;Tablica 2;0,920270451;0,445999146
115;Tablica 2;0,923679522;0,550999641
116;Tablica 2;0,916710283;0,476989508
117;Tablica 2;0,923998126;0,43700099
118;Tablica 2;0,916582755;0,440001726
119;Tablica 2;0,921675265;0,424000502
120;Tablica 2;0,924681067;0,438999891
121;Tablica 2;0,900743672;0,43200016
122;Tablica 2;0,918581707;0,477993727
124;Tablica 2;0,922737982;0,456001759
126;Tablica 2;0,916785359;0,789994717
130;Tablica 2;0,922805599;0,44200182
131;Tablica 2;0,921274611;0,462001562
132;Tablica 2;0,931150717;0,530997753
133;Tablica 2;0,92260359;0,51699996
135;Tablica 2;0,932398694;0,447001219
136;Tablica 2;0,937323715;0,543001413
137;Tablica 2;0,933373903;0,525014877
;;;
;;0,922824055;0,488243457
